term,estimate,std_error,statistic,p_value,conf_low_90,conf_high_90,model
(Intercept),106.58902530866246,3.733444329225874,28.549782964291204,7.532211788425373e-56,100.4010672085649,112.77698340876002,linear
mean_tmax_adj_prebloom,-1.872684808790164,0.36905002297004436,-5.074338686444599,1.4091397083224365e-6,-2.484362894117927,-1.2610067234624012,linear
total_prcp_prebloom,0.0311947067919571,0.00843742236576729,3.6971844527449216,3.279374977539682e-4,0.017210189689750882,0.0451792238941633,linear
