train_n,test_n,train_mae,train_rmse,train_r2,train_weighted_mae,train_weighted_rmse,test_mae,test_rmse,test_r2,weight_min,weight_max,weight_mean,split_id,test_fold
156,42,4.399,5.529,0.536,4.198,5.11,6.022,7.866,-0.096,0.1768,1.0,0.4922,1,1
159,39,4.621,5.938,0.49,4.238,5.199,5.206,6.669,0.333,0.1088,1.0,0.4654,2,2
159,39,4.865,6.164,0.474,4.423,5.347,4.134,5.507,0.548,0.1088,1.0,0.4348,3,3
161,37,4.718,6.047,0.539,4.378,5.348,4.662,5.716,0.146,0.1088,1.0,0.3882,4,4
157,41,4.661,6.059,0.462,4.375,5.623,4.677,5.32,0.328,0.1649,1.0,0.4618,5,5
