model,term,estimate,conf_low_90,conf_high_90,std_error,statistic,p_value
linear,(Intercept),106.58902530866246,100.4010672085649,112.77698340876002,3.733444329225874,28.549782964291204,7.532211788425373e-56
linear,mean_tmax_adj_prebloom,-1.872684808790164,-2.484362894117927,-1.2610067234624012,0.36905002297004436,-5.074338686444599,1.4091397083224365e-6
linear,total_prcp_prebloom,0.0311947067919571,0.017210189689750882,0.0451792238941633,0.00843742236576729,3.6971844527449216,3.279374977539682e-4
lasso,(Intercept),106.53907304004926,100.44869062897165,113.22155805666674,NA,NA,NA
lasso,mean_tmax_adj_prebloom,-1.8619376864784605,-2.5254073352053146,-1.2272826094585298,NA,NA,NA
lasso,total_prcp_prebloom,0.030949077329056537,0.015181472958349693,0.046919430360791416,NA,NA,NA
